Ref_Date,GEOGRAPHY,CUTOFFBASE,STATISTICS,LICOPERSONS,Value
1990,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,475
1991,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,532
1992,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,509
1993,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,603
1994,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,609
1995,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,674
1996,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,661
1997,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,653
1998,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,561
1999,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,531
2000,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,537
2001,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,464
2002,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,408
2003,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,436
2004,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,457
2005,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,419
2006,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,406
2007,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,350
2008,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,347
2009,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,396
2010,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,314
2011,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,321
1976,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,307
1977,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,326
1978,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,315
1979,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,266
1980,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,300
1981,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,301
1982,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,351
1983,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,359
1984,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,395
1985,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,389
1986,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,338
1987,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,366
1988,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,345
1989,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,338
1990,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,407
1991,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,447
1992,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,482
1993,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,490
1994,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,440
1995,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,479
1996,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,555
1997,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,488
1998,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,452
1999,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,396
2000,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,373
2001,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,337
2002,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,397
2003,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,370
2004,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,371
2005,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,315
2006,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,296
2007,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,247
2008,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,217
2009,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,193
2010,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,187
2011,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in female lone-parent families,198
1976,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,806
1977,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,865
1978,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,861
1979,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,875
1980,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,903
1981,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,895
1982,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,898
1983,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1036
1984,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,979
1985,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,987
1986,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,980
1987,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,994
1988,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1004
1989,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,944
1990,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1056
1991,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1222
1992,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1233
1993,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1241
1994,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1266
1995,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1296
1996,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1366
1997,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1398
1998,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Unattached individuals,1381
